@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
assis,preshouse,coalarm,share,reco,cluster2,0
tv,lochouse,locsens,share,nothing,cluster2,0
hvac,preshouse,colight,remserv,nothing,cluster2,1
wash,opauto,coassis,share,opti,cluster2,0
secu,opauto,cohvac,remserv,insight,cluster2,1
refr,alert,cowash,remserv,reco,cluster2,0
light,lochouse,micro,locally,opti,cluster2,1
light,alert,cotv,share,insight,cluster2,0
assis,opauto,watch,locally,insight,cluster2,1
alarm,lochouse,corefri,remserv,opti,cluster2,0
wash,preshouse,cam,locally,nothing,cluster2,0
tv,alert,cosecu,locally,reco,cluster2,0
tv,opauto,cosecu,share,insight,cluster2,1
secu,preshouse,cohvac,share,nothing,cluster2,0
light,alert,micro,remserv,nothing,cluster2,0
refr,preshouse,coalarm,remserv,opti,cluster2,1
secu,opauto,cotv,locally,reco,cluster2,0
alarm,alert,corefri,share,reco,cluster2,0
assis,lochouse,watch,share,opti,cluster2,0
alarm,lochouse,coassis,locally,insight,cluster2,1
wash,opauto,cam,remserv,reco,cluster2,0
assis,alert,cowash,locally,nothing,cluster2,1
tv,preshouse,colight,locally,opti,cluster2,1
hvac,lochouse,locsens,remserv,insight,cluster2,0
hvac,opauto,cam,share,reco,cluster3,1
tv,lochouse,coassis,remserv,reco,cluster3,1
assis,preshouse,colight,remserv,insight,cluster3,1
light,alert,cowash,remserv,opti,cluster3,0
