@relation 'Framing0-weka.filters.unsupervised.attribute.Remove-R1-4,6-17-weka.filters.unsupervised.attribute.Reorder-R2-7,1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
assis,preshouse,coalarm,share,reco,0
tv,lochouse,locsens,share,nothing,0
hvac,preshouse,colight,remserv,nothing,1
wash,opauto,coassis,share,opti,0
secu,opauto,cohvac,remserv,insight,1
refr,alert,cowash,remserv,reco,0
light,lochouse,micro,locally,opti,1
light,alert,cotv,share,insight,0
assis,opauto,watch,locally,insight,1
alarm,lochouse,corefri,remserv,opti,0
wash,preshouse,cam,locally,nothing,0
tv,alert,cosecu,locally,reco,0
alarm,alert,colight,share,insight,1
assis,preshouse,cohvac,remserv,nothing,1
hvac,lochouse,watch,remserv,opti,1
secu,opauto,cam,locally,insight,1
refr,lochouse,cotv,share,nothing,1
secu,preshouse,coassis,share,reco,1
tv,preshouse,coalarm,locally,nothing,1
alarm,lochouse,locsens,locally,opti,1
wash,opauto,cosecu,remserv,insight,0
tv,opauto,cowash,share,opti,0
refr,alert,micro,locally,reco,1
light,alert,corefri,remserv,reco,1
assis,lochouse,cosecu,remserv,nothing,0
tv,alert,corefri,share,opti,1
light,preshouse,watch,remserv,reco,0
tv,lochouse,coassis,locally,nothing,1
refr,preshouse,locsens,locally,reco,1
hvac,opauto,cam,remserv,opti,0
secu,alert,coalarm,locally,insight,0
refr,opauto,colight,share,nothing,1
wash,alert,micro,remserv,insight,0
alarm,preshouse,cohvac,share,insight,0
alarm,opauto,cotv,locally,opti,0
secu,lochouse,cowash,share,reco,0
tv,preshouse,corefri,share,reco,0
hvac,alert,cam,remserv,reco,0
tv,opauto,coassis,locally,insight,0
secu,lochouse,coalarm,remserv,opti,1
wash,preshouse,micro,remserv,nothing,1
alarm,alert,cotv,locally,reco,1
assis,lochouse,colight,locally,opti,1
light,opauto,watch,share,opti,0
assis,alert,cosecu,share,insight,0
light,preshouse,cowash,locally,nothing,1
refr,opauto,locsens,remserv,insight,0
alarm,lochouse,cohvac,share,nothing,0
light,alert,colight,locally,insight,1
wash,preshouse,watch,share,insight,0
assis,preshouse,coassis,locally,reco,1
refr,lochouse,cam,remserv,nothing,0
hvac,lochouse,cohvac,locally,nothing,1
wash,opauto,cowash,locally,opti,1
secu,preshouse,locsens,remserv,reco,0
light,lochouse,cosecu,share,reco,0
assis,opauto,corefri,share,nothing,0
hvac,alert,micro,share,opti,0
alarm,alert,coalarm,remserv,insight,1
tv,opauto,cotv,remserv,opti,1
assis,preshouse,watch,locally,nothing,1
secu,alert,cohvac,locally,reco,0
tv,alert,locsens,share,insight,0
wash,alert,coassis,remserv,reco,1
