@relation 'Framing2-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R2-6,1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
tv,opauto,cosecu,share,insight,1
secu,preshouse,cohvac,share,nothing,0
light,alert,micro,remserv,nothing,0
refr,preshouse,coalarm,remserv,opti,1
secu,opauto,cotv,locally,reco,0
alarm,alert,corefri,share,reco,0
assis,lochouse,watch,share,opti,0
alarm,lochouse,coassis,locally,insight,1
wash,opauto,cam,remserv,reco,0
assis,alert,cowash,locally,nothing,1
tv,preshouse,colight,locally,opti,1
hvac,lochouse,locsens,remserv,insight,0
hvac,opauto,coassis,locally,reco,0
refr,lochouse,colight,locally,insight,0
assis,opauto,locsens,remserv,reco,0
light,lochouse,coalarm,remserv,insight,0
wash,preshouse,cotv,remserv,opti,1
refr,alert,cosecu,share,reco,0
hvac,preshouse,corefri,share,nothing,0
alarm,lochouse,micro,share,opti,0
alarm,alert,cohvac,locally,nothing,1
secu,opauto,watch,share,insight,0
secu,preshouse,cowash,locally,opti,0
tv,alert,cam,remserv,nothing,1
light,lochouse,micro,remserv,insight,1
alarm,lochouse,corefri,share,opti,1
hvac,preshouse,colight,share,nothing,0
tv,alert,cosecu,remserv,nothing,1
alarm,alert,coassis,locally,nothing,1
hvac,opauto,locsens,locally,reco,0
refr,alert,cowash,share,reco,1
refr,lochouse,coalarm,locally,insight,1
assis,opauto,watch,remserv,reco,1
wash,preshouse,cam,remserv,opti,0
secu,preshouse,cotv,locally,opti,1
secu,opauto,cohvac,share,insight,1
assis,lochouse,locsens,remserv,insight,0
hvac,lochouse,coassis,locally,insight,1
secu,alert,cowash,locally,nothing,1
refr,opauto,cosecu,share,insight,0
wash,preshouse,cohvac,share,nothing,0
refr,preshouse,colight,locally,opti,1
tv,opauto,cam,remserv,reco,0
alarm,alert,micro,remserv,nothing,0
wash,opauto,cotv,locally,reco,0
secu,lochouse,watch,share,opti,0
light,preshouse,coalarm,remserv,opti,0
hvac,alert,corefri,share,reco,0
tv,alert,locsens,share,nothing,0
assis,opauto,coalarm,share,reco,1
refr,lochouse,cowash,remserv,reco,1
alarm,alert,corefri,remserv,opti,1
secu,preshouse,cohvac,remserv,insight,0
wash,opauto,cam,locally,nothing,0
hvac,opauto,colight,remserv,nothing,0
assis,preshouse,watch,locally,insight,1
light,lochouse,cotv,share,insight,0
wash,preshouse,coassis,share,opti,1
tv,lochouse,cosecu,locally,reco,1
light,alert,micro,locally,opti,0
hvac,lochouse,watch,locally,reco,0
secu,lochouse,coassis,share,insight,0
secu,alert,cam,locally,opti,0
alarm,preshouse,colight,share,opti,0
refr,preshouse,micro,locally,insight,0
light,preshouse,corefri,remserv,insight,0
hvac,alert,coalarm,share,nothing,0
assis,lochouse,cohvac,remserv,reco,0
tv,opauto,cowash,remserv,nothing,0
refr,opauto,cotv,share,reco,0
wash,alert,cosecu,remserv,opti,0
alarm,opauto,locsens,locally,nothing,0
alarm,lochouse,cam,share,insight,0
tv,opauto,cosecu,locally,nothing,0
refr,lochouse,cowash,locally,reco,0
light,lochouse,cotv,remserv,reco,0
secu,opauto,micro,share,reco,0
assis,opauto,coalarm,remserv,nothing,0
hvac,alert,colight,remserv,opti,0
tv,preshouse,locsens,share,opti,0
secu,preshouse,cohvac,locally,insight,0
refr,alert,watch,share,nothing,0
wash,preshouse,coassis,remserv,insight,0
alarm,alert,corefri,locally,opti,0
hvac,lochouse,locsens,share,opti,1
secu,opauto,cotv,remserv,reco,1
assis,preshouse,watch,share,nothing,1
light,alert,micro,share,reco,1
tv,preshouse,colight,remserv,opti,1
assis,opauto,cowash,locally,reco,1
refr,alert,coalarm,remserv,nothing,1
hvac,alert,cosecu,locally,nothing,0
wash,opauto,cam,share,insight,1
light,lochouse,cohvac,locally,insight,1
alarm,lochouse,coassis,remserv,insight,1
wash,preshouse,corefri,locally,opti,1
hvac,lochouse,cosecu,remserv,insight,0
light,alert,cohvac,remserv,nothing,1
tv,preshouse,locsens,locally,opti,1
assis,alert,coalarm,locally,nothing,1
tv,opauto,colight,share,insight,0
alarm,alert,coassis,share,reco,0
alarm,lochouse,cam,locally,insight,1
wash,opauto,corefri,remserv,reco,0
secu,preshouse,cotv,share,nothing,0
refr,preshouse,watch,remserv,opti,0
secu,opauto,micro,locally,reco,1
assis,lochouse,cowash,share,opti,0
tv,alert,cohvac,share,nothing,0
light,lochouse,cosecu,share,insight,0
alarm,alert,coalarm,remserv,opti,1
wash,preshouse,watch,share,opti,1
wash,opauto,cowash,locally,nothing,1
assis,preshouse,coassis,locally,insight,1
secu,preshouse,locsens,remserv,insight,0
refr,lochouse,cam,remserv,reco,1
hvac,opauto,micro,remserv,nothing,0
light,alert,colight,locally,opti,1
tv,lochouse,cotv,locally,reco,1
assis,opauto,corefri,share,reco,1
hvac,preshouse,corefri,remserv,insight,1
tv,lochouse,coassis,share,insight,0
alarm,opauto,cotv,share,reco,0
wash,lochouse,cohvac,remserv,reco,1
secu,alert,coalarm,share,nothing,0
alarm,preshouse,micro,locally,insight,1
refr,alert,cosecu,remserv,opti,1
assis,opauto,locsens,locally,nothing,1
light,opauto,cowash,remserv,nothing,1
secu,lochouse,watch,locally,reco,1
tv,alert,cam,locally,opti,1
assis,preshouse,colight,share,opti,0
light,preshouse,watch,locally,insight,0
wash,lochouse,cotv,share,insight,0
assis,alert,locsens,share,nothing,1
hvac,preshouse,coassis,share,opti,1
wash,alert,micro,locally,opti,1
alarm,preshouse,cohvac,remserv,insight,1
assis,lochouse,cosecu,locally,reco,1
hvac,opauto,cam,locally,nothing,1
refr,opauto,colight,remserv,nothing,1
light,opauto,coalarm,share,reco,0
secu,lochouse,cowash,remserv,reco,0
tv,alert,corefri,remserv,opti,1
alarm,preshouse,corefri,share,nothing,1
refr,lochouse,coalarm,remserv,insight,1
light,alert,cohvac,locally,nothing,1
secu,preshouse,cotv,remserv,opti,1
tv,alert,cosecu,share,reco,0
alarm,opauto,coassis,locally,reco,1
assis,preshouse,cowash,locally,opti,1
hvac,opauto,locsens,remserv,reco,1
tv,lochouse,colight,locally,insight,1
assis,opauto,watch,share,insight,0
wash,alert,cam,remserv,nothing,0
light,lochouse,micro,share,opti,0
tv,lochouse,cowash,remserv,insight,0
hvac,opauto,coalarm,share,insight,1
alarm,opauto,colight,remserv,reco,1
assis,preshouse,cohvac,remserv,opti,1
wash,lochouse,cosecu,locally,insight,1
refr,alert,micro,locally,nothing,1
light,opauto,corefri,locally,reco,0
