sessionId,whof,purposef,whatf,cstore,caction,decision
8,alarm,alert,colight,share,insight,1
8,assis,preshouse,cohvac,remserv,nothing,1
8,hvac,lochouse,watch,remserv,opti,1
8,secu,opauto,cam,locally,insight,1
8,refr,lochouse,cotv,share,nothing,1
8,secu,preshouse,coassis,share,reco,1
8,tv,preshouse,coalarm,locally,nothing,1
8,alarm,lochouse,locsens,locally,opti,1
8,wash,opauto,cosecu,remserv,insight,0
8,tv,opauto,cowash,share,opti,0
8,refr,alert,micro,locally,reco,1
8,light,alert,corefri,remserv,reco,1
9,light,lochouse,micro,remserv,insight,1
9,alarm,lochouse,corefri,share,opti,1
9,hvac,preshouse,colight,share,nothing,0
9,tv,alert,cosecu,remserv,nothing,1
9,alarm,alert,coassis,locally,nothing,1
9,hvac,opauto,locsens,locally,reco,0
9,refr,alert,cowash,share,reco,1
9,refr,lochouse,coalarm,locally,insight,1
9,assis,opauto,watch,remserv,reco,1
9,wash,preshouse,cam,remserv,opti,0
9,secu,preshouse,cotv,locally,opti,1
9,secu,opauto,cohvac,share,insight,1
13,tv,preshouse,corefri,share,reco,0
13,hvac,alert,cam,remserv,reco,0
13,tv,opauto,coassis,locally,insight,0
13,secu,lochouse,coalarm,remserv,opti,1
13,wash,preshouse,micro,remserv,nothing,1
13,alarm,alert,cotv,locally,reco,1
13,assis,lochouse,colight,locally,opti,1
13,light,opauto,watch,share,opti,0
13,assis,alert,cosecu,share,insight,0
13,light,preshouse,cowash,locally,nothing,1
13,refr,opauto,locsens,remserv,insight,0
13,alarm,lochouse,cohvac,share,nothing,0
14,hvac,opauto,coalarm,share,reco,1
14,refr,lochouse,cotv,share,insight,1
14,wash,lochouse,cosecu,locally,reco,1
14,tv,lochouse,cowash,remserv,reco,1
14,secu,preshouse,coassis,share,opti,0
14,hvac,preshouse,watch,locally,insight,1
14,assis,preshouse,cohvac,remserv,insight,1
14,alarm,opauto,colight,remserv,nothing,0
14,light,alert,corefri,remserv,opti,0
14,wash,alert,locsens,share,nothing,1
14,secu,opauto,cam,locally,nothing,1
14,refr,alert,micro,locally,opti,1
18,light,alert,colight,locally,insight,1
18,wash,preshouse,watch,share,insight,0
18,assis,preshouse,coassis,locally,reco,1
18,refr,lochouse,cam,remserv,nothing,0
18,hvac,lochouse,cohvac,locally,nothing,1
18,wash,opauto,cowash,locally,opti,1
18,secu,preshouse,locsens,remserv,reco,0
18,light,lochouse,cosecu,share,reco,0
18,assis,opauto,corefri,share,nothing,0
18,hvac,alert,micro,share,opti,0
18,alarm,alert,coalarm,remserv,insight,1
18,tv,opauto,cotv,remserv,opti,1
22,hvac,preshouse,locsens,remserv,insight,1
22,alarm,preshouse,coassis,locally,insight,1
22,assis,preshouse,watch,share,opti,0
22,light,opauto,micro,remserv,nothing,1
22,assis,opauto,cowash,locally,nothing,1
22,tv,alert,colight,locally,opti,1
22,tv,lochouse,cosecu,share,insight,0
22,secu,lochouse,cotv,locally,reco,1
22,secu,alert,cohvac,share,nothing,1
22,wash,lochouse,cam,remserv,reco,0
22,alarm,opauto,corefri,share,reco,0
22,refr,alert,coalarm,remserv,opti,0
31,secu,opauto,coassis,remserv,nothing,0
31,tv,preshouse,cowash,remserv,insight,0
31,light,alert,cam,share,nothing,0
31,refr,opauto,micro,locally,nothing,1
31,refr,preshouse,cotv,share,opti,0
31,light,lochouse,corefri,locally,reco,0
31,wash,opauto,locsens,share,reco,0
31,alarm,lochouse,colight,remserv,reco,1
31,hvac,lochouse,coalarm,share,insight,0
31,hvac,alert,watch,locally,opti,1
31,wash,preshouse,cosecu,locally,insight,1
31,assis,alert,cohvac,remserv,opti,1
35,light,opauto,locsens,locally,insight,1
35,refr,preshouse,corefri,remserv,nothing,0
35,light,preshouse,colight,share,reco,1
35,tv,lochouse,micro,remserv,opti,1
35,hvac,preshouse,cotv,locally,nothing,1
35,assis,lochouse,coassis,share,nothing,1
35,assis,alert,cam,locally,reco,1
35,wash,alert,cowash,share,insight,1
35,secu,alert,cosecu,remserv,reco,1
35,wash,lochouse,coalarm,locally,opti,1
35,alarm,opauto,watch,remserv,insight,1
35,hvac,opauto,cohvac,share,opti,1
38,hvac,preshouse,cohvac,remserv,insight,1
38,light,opauto,colight,remserv,nothing,1
38,alarm,opauto,coalarm,share,reco,1
38,secu,alert,locsens,share,nothing,1
38,tv,lochouse,cotv,share,insight,1
38,tv,alert,micro,locally,opti,1
38,alarm,preshouse,watch,locally,insight,1
38,assis,preshouse,coassis,share,opti,1
38,refr,alert,corefri,remserv,opti,1
38,wash,lochouse,cowash,remserv,reco,1
38,assis,opauto,cam,locally,nothing,1
38,secu,lochouse,cosecu,locally,reco,1
43,wash,opauto,cam,locally,opti,1
43,refr,lochouse,cowash,remserv,nothing,1
43,tv,opauto,cosecu,remserv,opti,0
43,assis,preshouse,watch,locally,reco,1
43,assis,opauto,coalarm,share,nothing,0
43,alarm,alert,corefri,remserv,insight,1
43,secu,preshouse,cohvac,remserv,reco,0
43,hvac,lochouse,locsens,locally,nothing,1
43,hvac,alert,colight,share,opti,1
43,light,lochouse,cotv,share,reco,0
43,wash,preshouse,coassis,share,insight,1
43,light,alert,micro,locally,insight,1
44,hvac,lochouse,locsens,share,opti,1
44,secu,opauto,cotv,remserv,reco,1
44,assis,preshouse,watch,share,nothing,1
44,light,alert,micro,share,reco,1
44,tv,preshouse,colight,remserv,opti,1
44,assis,opauto,cowash,locally,reco,1
