sessionId,whof,purposef,whatf,cstore,caction,decision
2,assis,preshouse,coalarm,share,reco,0
2,tv,lochouse,locsens,share,nothing,0
2,hvac,preshouse,colight,remserv,nothing,1
2,wash,opauto,coassis,share,opti,0
2,secu,opauto,cohvac,remserv,insight,1
2,refr,alert,cowash,remserv,reco,0
2,light,lochouse,micro,locally,opti,1
2,light,alert,cotv,share,insight,0
2,assis,opauto,watch,locally,insight,1
2,alarm,lochouse,corefri,remserv,opti,0
2,wash,preshouse,cam,locally,nothing,0
2,tv,alert,cosecu,locally,reco,0
3,tv,opauto,cosecu,share,insight,1
3,secu,preshouse,cohvac,share,nothing,0
3,light,alert,micro,remserv,nothing,0
3,refr,preshouse,coalarm,remserv,opti,1
3,secu,opauto,cotv,locally,reco,0
3,alarm,alert,corefri,share,reco,0
3,assis,lochouse,watch,share,opti,0
3,alarm,lochouse,coassis,locally,insight,1
3,wash,opauto,cam,remserv,reco,0
3,assis,alert,cowash,locally,nothing,1
3,tv,preshouse,colight,locally,opti,1
3,hvac,lochouse,locsens,remserv,insight,0
13,tv,preshouse,corefri,share,reco,0
13,hvac,alert,cam,remserv,reco,0
13,tv,opauto,coassis,locally,insight,0
13,secu,lochouse,coalarm,remserv,opti,1
13,wash,preshouse,micro,remserv,nothing,1
13,alarm,alert,cotv,locally,reco,1
13,assis,lochouse,colight,locally,opti,1
13,light,opauto,watch,share,opti,0
13,assis,alert,cosecu,share,insight,0
13,light,preshouse,cowash,locally,nothing,1
13,refr,opauto,locsens,remserv,insight,0
13,alarm,lochouse,cohvac,share,nothing,0
18,light,alert,colight,locally,insight,1
18,wash,preshouse,watch,share,insight,0
18,assis,preshouse,coassis,locally,reco,1
18,refr,lochouse,cam,remserv,nothing,0
18,hvac,lochouse,cohvac,locally,nothing,1
18,wash,opauto,cowash,locally,opti,1
18,secu,preshouse,locsens,remserv,reco,0
18,light,lochouse,cosecu,share,reco,0
18,assis,opauto,corefri,share,nothing,0
18,hvac,alert,micro,share,opti,0
18,alarm,alert,coalarm,remserv,insight,1
18,tv,opauto,cotv,remserv,opti,1
21,tv,opauto,cosecu,remserv,nothing,0
21,alarm,preshouse,corefri,share,opti,0
21,hvac,lochouse,locsens,locally,reco,1
21,secu,alert,cotv,locally,opti,1
21,light,preshouse,micro,remserv,insight,0
21,alarm,opauto,coassis,locally,nothing,1
21,secu,lochouse,cohvac,share,insight,0
21,wash,alert,cam,remserv,opti,1
21,refr,opauto,cowash,share,reco,0
21,hvac,alert,colight,share,nothing,1
21,assis,lochouse,watch,remserv,reco,0
21,refr,preshouse,coalarm,locally,insight,1
22,hvac,preshouse,locsens,remserv,insight,1
22,alarm,preshouse,coassis,locally,insight,1
22,assis,preshouse,watch,share,opti,0
22,light,opauto,micro,remserv,nothing,1
22,assis,opauto,cowash,locally,nothing,1
22,tv,alert,colight,locally,opti,1
22,tv,lochouse,cosecu,share,insight,0
22,secu,lochouse,cotv,locally,reco,1
22,secu,alert,cohvac,share,nothing,1
22,wash,lochouse,cam,remserv,reco,0
22,alarm,opauto,corefri,share,reco,0
22,refr,alert,coalarm,remserv,opti,0
31,secu,opauto,coassis,remserv,nothing,0
31,tv,preshouse,cowash,remserv,insight,0
31,light,alert,cam,share,nothing,0
31,refr,opauto,micro,locally,nothing,1
31,refr,preshouse,cotv,share,opti,0
31,light,lochouse,corefri,locally,reco,0
31,wash,opauto,locsens,share,reco,0
31,alarm,lochouse,colight,remserv,reco,1
31,hvac,lochouse,coalarm,share,insight,0
31,hvac,alert,watch,locally,opti,1
31,wash,preshouse,cosecu,locally,insight,1
31,assis,alert,cohvac,remserv,opti,1
47,hvac,lochouse,cosecu,remserv,insight,0
47,light,alert,cohvac,remserv,nothing,1
47,tv,preshouse,locsens,locally,opti,1
47,assis,alert,coalarm,locally,nothing,1
47,tv,opauto,colight,share,insight,0
47,alarm,alert,coassis,share,reco,0
47,alarm,lochouse,cam,locally,insight,1
47,wash,opauto,corefri,remserv,reco,0
47,secu,preshouse,cotv,share,nothing,0
47,refr,preshouse,watch,remserv,opti,0
47,secu,opauto,micro,locally,reco,1
47,assis,lochouse,cowash,share,opti,0
48,secu,alert,colight,share,opti,0
48,wash,opauto,coalarm,share,nothing,0
48,tv,preshouse,cohvac,remserv,reco,1
48,hvac,alert,micro,locally,insight,1
48,alarm,lochouse,cowash,remserv,nothing,0
48,wash,preshouse,watch,locally,reco,1
48,secu,lochouse,locsens,locally,nothing,1
48,assis,alert,corefri,remserv,insight,1
48,light,opauto,cosecu,remserv,opti,1
48,refr,opauto,cam,locally,opti,1
48,hvac,lochouse,cotv,share,reco,1
48,refr,preshouse,coassis,share,insight,1
49,secu,preshouse,cowash,locally,reco,0
49,assis,alert,locsens,share,opti,0
49,alarm,alert,cohvac,locally,insight,1
49,hvac,alert,coassis,remserv,insight,1
49,refr,opauto,colight,remserv,opti,1
49,wash,preshouse,cotv,remserv,reco,0
49,assis,lochouse,cosecu,locally,nothing,1
49,alarm,lochouse,micro,share,reco,0
49,secu,opauto,watch,share,nothing,0
49,tv,opauto,corefri,locally,opti,1
49,light,lochouse,coalarm,remserv,nothing,0
49,tv,preshouse,cam,share,insight,0
51,tv,preshouse,corefri,locally,insight,1
51,hvac,lochouse,coassis,remserv,reco,0
51,alarm,alert,micro,share,nothing,1
51,refr,preshouse,colight,remserv,insight,1
51,light,opauto,watch,locally,nothing,1
51,alarm,lochouse,cohvac,locally,reco,1
51,assis,lochouse,locsens,share,insight,0
51,assis,alert,cosecu,locally,opti,1
51,tv,opauto,cam,share,reco,0
51,light,preshouse,coalarm,share,opti,0
51,wash,opauto,cotv,remserv,nothing,1
51,secu,alert,cowash,remserv,opti,1
54,light,lochouse,corefri,share,insight,0
54,tv,alert,cowash,share,nothing,1
54,wash,opauto,colight,locally,nothing,1
54,assis,opauto,cohvac,share,reco,0
54,assis,preshouse,cotv,locally,insight,1
54,wash,preshouse,cosecu,share,opti,1
54,secu,preshouse,cam,remserv,insight,1
54,light,alert,coassis,locally,opti,1
54,tv,lochouse,coalarm,locally,reco,1
54,alarm,alert,locsens,remserv,opti,1
54,hvac,opauto,watch,remserv,nothing,1
54,refr,lochouse,micro,remserv,reco,0
55,hvac,preshouse,corefri,remserv,insight,1
55,tv,lochouse,coassis,share,insight,0
55,alarm,opauto,cotv,share,reco,0
55,wash,lochouse,cohvac,remserv,reco,1
55,secu,alert,coalarm,share,nothing,0
55,alarm,preshouse,micro,locally,insight,1
55,refr,alert,cosecu,remserv,opti,1
55,assis,opauto,locsens,locally,nothing,1
55,light,opauto,cowash,remserv,nothing,1
55,secu,lochouse,watch,locally,reco,1
55,tv,alert,cam,locally,opti,1
55,assis,preshouse,colight,share,opti,0
61,refr,lochouse,locsens,share,insight,0
61,alarm,opauto,cotv,remserv,nothing,0
61,wash,lochouse,cohvac,locally,reco,1
61,refr,alert,cosecu,locally,opti,1
61,hvac,preshouse,corefri,locally,insight,1
61,tv,lochouse,coassis,remserv,reco,0
61,wash,alert,micro,share,nothing,0
61,secu,opauto,watch,locally,nothing,1
61,light,alert,cowash,remserv,opti,0
61,secu,preshouse,coalarm,share,opti,0
61,assis,preshouse,colight,remserv,insight,0
61,hvac,opauto,cam,share,reco,0
64,alarm,lochouse,colight,remserv,nothing,1
64,light,opauto,corefri,remserv,opti,1
64,refr,preshouse,cotv,share,insight,0
64,refr,opauto,micro,locally,opti,1
64,hvac,alert,watch,locally,insight,1
64,assis,alert,cohvac,remserv,insight,0
64,wash,preshouse,cosecu,locally,reco,0
64,secu,lochouse,cam,locally,nothing,1
64,secu,alert,coassis,share,opti,0
64,wash,opauto,locsens,share,nothing,0
64,tv,preshouse,cowash,remserv,reco,0
64,hvac,lochouse,coalarm,share,reco,0
66,light,preshouse,watch,locally,insight,0
66,wash,lochouse,cotv,share,insight,0
66,assis,alert,locsens,share,nothing,1
66,hvac,preshouse,coassis,share,opti,1
66,wash,alert,micro,locally,opti,1
66,alarm,preshouse,cohvac,remserv,insight,1
66,assis,lochouse,cosecu,locally,reco,1
66,hvac,opauto,cam,locally,nothing,1
66,refr,opauto,colight,remserv,nothing,1
66,light,opauto,coalarm,share,reco,0
66,secu,lochouse,cowash,remserv,reco,0
66,tv,alert,corefri,remserv,opti,1
69,assis,preshouse,coassis,locally,nothing,1
69,tv,alert,cohvac,share,insight,0
69,alarm,opauto,coalarm,locally,insight,1
69,alarm,preshouse,cowash,share,reco,0
69,refr,lochouse,cam,remserv,opti,1
69,secu,lochouse,colight,share,nothing,0
69,hvac,opauto,micro,remserv,insight,1
69,wash,alert,watch,remserv,reco,1
69,assis,opauto,corefri,share,opti,1
69,secu,alert,locsens,locally,reco,1
69,tv,lochouse,cotv,locally,opti,1
69,light,preshouse,cosecu,remserv,nothing,1
71,alarm,preshouse,corefri,share,nothing,1
71,refr,lochouse,coalarm,remserv,insight,1
71,light,alert,cohvac,locally,nothing,1
71,secu,preshouse,cotv,remserv,opti,1
71,tv,alert,cosecu,share,reco,0
71,alarm,opauto,coassis,locally,reco,1
71,assis,preshouse,cowash,locally,opti,1
71,hvac,opauto,locsens,remserv,reco,1
71,tv,lochouse,colight,locally,insight,1
71,assis,opauto,watch,share,insight,0
71,wash,alert,cam,remserv,nothing,0
