@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4'

@attribute sessionId numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
8,alarm,alert,colight,share,insight,1
8,assis,preshouse,cohvac,remserv,nothing,1
8,hvac,lochouse,watch,remserv,opti,1
8,secu,opauto,cam,locally,insight,1
8,refr,lochouse,cotv,share,nothing,1
8,secu,preshouse,coassis,share,reco,1
8,tv,preshouse,coalarm,locally,nothing,1
8,alarm,lochouse,locsens,locally,opti,1
8,wash,opauto,cosecu,remserv,insight,0
8,tv,opauto,cowash,share,opti,0
8,refr,alert,micro,locally,reco,1
8,light,alert,corefri,remserv,reco,1
9,light,lochouse,micro,remserv,insight,1
9,alarm,lochouse,corefri,share,opti,1
9,hvac,preshouse,colight,share,nothing,0
9,tv,alert,cosecu,remserv,nothing,1
9,alarm,alert,coassis,locally,nothing,1
9,hvac,opauto,locsens,locally,reco,0
9,refr,alert,cowash,share,reco,1
9,refr,lochouse,coalarm,locally,insight,1
9,assis,opauto,watch,remserv,reco,1
9,wash,preshouse,cam,remserv,opti,0
9,secu,preshouse,cotv,locally,opti,1
9,secu,opauto,cohvac,share,insight,1
14,hvac,opauto,coalarm,share,reco,1
14,refr,lochouse,cotv,share,insight,1
14,wash,lochouse,cosecu,locally,reco,1
14,tv,lochouse,cowash,remserv,reco,1
14,secu,preshouse,coassis,share,opti,0
14,hvac,preshouse,watch,locally,insight,1
14,assis,preshouse,cohvac,remserv,insight,1
14,alarm,opauto,colight,remserv,nothing,0
14,light,alert,corefri,remserv,opti,0
14,wash,alert,locsens,share,nothing,1
14,secu,opauto,cam,locally,nothing,1
14,refr,alert,micro,locally,opti,1
35,light,opauto,locsens,locally,insight,1
35,refr,preshouse,corefri,remserv,nothing,0
35,light,preshouse,colight,share,reco,1
35,tv,lochouse,micro,remserv,opti,1
35,hvac,preshouse,cotv,locally,nothing,1
35,assis,lochouse,coassis,share,nothing,1
35,assis,alert,cam,locally,reco,1
35,wash,alert,cowash,share,insight,1
35,secu,alert,cosecu,remserv,reco,1
35,wash,lochouse,coalarm,locally,opti,1
35,alarm,opauto,watch,remserv,insight,1
35,hvac,opauto,cohvac,share,opti,1
38,hvac,preshouse,cohvac,remserv,insight,1
38,light,opauto,colight,remserv,nothing,1
38,alarm,opauto,coalarm,share,reco,1
38,secu,alert,locsens,share,nothing,1
38,tv,lochouse,cotv,share,insight,1
38,tv,alert,micro,locally,opti,1
38,alarm,preshouse,watch,locally,insight,1
38,assis,preshouse,coassis,share,opti,1
38,refr,alert,corefri,remserv,opti,1
38,wash,lochouse,cowash,remserv,reco,1
38,assis,opauto,cam,locally,nothing,1
38,secu,lochouse,cosecu,locally,reco,1
43,wash,opauto,cam,locally,opti,1
43,refr,lochouse,cowash,remserv,nothing,1
43,tv,opauto,cosecu,remserv,opti,0
43,assis,preshouse,watch,locally,reco,1
43,assis,opauto,coalarm,share,nothing,0
43,alarm,alert,corefri,remserv,insight,1
43,secu,preshouse,cohvac,remserv,reco,0
43,hvac,lochouse,locsens,locally,nothing,1
43,hvac,alert,colight,share,opti,1
43,light,lochouse,cotv,share,reco,0
43,wash,preshouse,coassis,share,insight,1
43,light,alert,micro,locally,insight,1
44,hvac,lochouse,locsens,share,opti,1
44,secu,opauto,cotv,remserv,reco,1
44,assis,preshouse,watch,share,nothing,1
44,light,alert,micro,share,reco,1
44,tv,preshouse,colight,remserv,opti,1
44,assis,opauto,cowash,locally,reco,1
44,refr,alert,coalarm,remserv,nothing,1
44,hvac,alert,cosecu,locally,nothing,0
44,wash,opauto,cam,share,insight,1
44,light,lochouse,cohvac,locally,insight,1
44,alarm,lochouse,coassis,remserv,insight,1
44,wash,preshouse,corefri,locally,opti,1
50,tv,alert,cohvac,share,nothing,0
50,light,lochouse,cosecu,share,insight,0
50,alarm,alert,coalarm,remserv,opti,1
50,wash,preshouse,watch,share,opti,1
50,wash,opauto,cowash,locally,nothing,1
50,assis,preshouse,coassis,locally,insight,1
50,secu,preshouse,locsens,remserv,insight,0
50,refr,lochouse,cam,remserv,reco,1
50,hvac,opauto,micro,remserv,nothing,0
50,light,alert,colight,locally,opti,1
50,tv,lochouse,cotv,locally,reco,1
50,assis,opauto,corefri,share,reco,1
59,light,opauto,colight,share,reco,1
59,light,preshouse,locsens,locally,insight,1
59,secu,lochouse,cosecu,remserv,reco,1
59,wash,lochouse,cowash,share,insight,0
59,alarm,preshouse,watch,remserv,insight,0
59,hvac,preshouse,cohvac,share,opti,1
59,assis,lochouse,cam,locally,reco,1
59,hvac,opauto,cotv,locally,nothing,0
59,wash,alert,coalarm,locally,opti,1
59,tv,alert,micro,remserv,opti,1
59,assis,alert,coassis,share,nothing,1
59,refr,opauto,corefri,remserv,nothing,1
67,tv,alert,colight,remserv,reco,1
67,secu,preshouse,micro,locally,nothing,1
67,hvac,preshouse,locsens,share,reco,1
67,assis,opauto,cowash,remserv,insight,1
67,wash,alert,corefri,locally,reco,0
