@relation iots-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C11-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C12-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-14

@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute collectionf {remrecoshr,remshr,remserv,remoptishr,reminsi,remreco,locopti,reminsishr,locinsi,remopti,locally,locreco}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}

@data
0,-2,1,-2,-2,-1,0,0,0,assis,preshouse,remrecoshr,coalarm,share,reco
0,-3,-2,-2,-3,-2,0,0,1,tv,lochouse,remshr,locsens,share,nothing
1,2,2,1,2,2,0,0,0,hvac,preshouse,remserv,colight,remserv,nothing
0,-2,-1,1,-1,1,0,0,1,wash,opauto,remoptishr,coassis,share,opti
1,1,2,2,2,1,0,0,1,secu,opauto,reminsi,cohvac,remserv,insight
0,-2,1,2,-2,1,0,0,0,refr,alert,remreco,cowash,remserv,reco
1,-1,2,1,1,2,0,0,0,light,lochouse,locopti,micro,locally,opti
0,-1,1,-1,-2,-1,0,0,0,light,alert,reminsishr,cotv,share,insight
1,1,2,2,2,1,0,0,1,assis,opauto,locinsi,watch,locally,insight
0,-1,-2,-1,-1,-2,0,0,0,alarm,lochouse,remopti,corefri,remserv,opti
0,-2,-1,2,1,-1,0,0,0,wash,preshouse,locally,cam,locally,nothing
0,-1,1,2,-2,2,0,0,0,tv,alert,locreco,cosecu,locally,reco
1,-2,-2,-2,-3,-2,1,2,0,tv,opauto,reminsishr,cosecu,share,insight
0,-2,-2,-2,-2,0,1,2,0,secu,preshouse,remshr,cohvac,share,nothing
0,0,0,2,0,0,1,2,1,light,alert,remserv,micro,remserv,nothing
1,1,2,1,1,0,1,2,1,refr,preshouse,remopti,coalarm,remserv,opti
0,-1,0,-1,-1,0,1,2,0,secu,opauto,locreco,cotv,locally,reco
0,-2,-1,-2,-2,0,1,2,1,alarm,alert,remrecoshr,corefri,share,reco
0,-1,2,-1,-1,0,1,2,0,assis,lochouse,remoptishr,watch,share,opti
1,1,1,0,0,0,1,2,0,alarm,lochouse,locinsi,coassis,locally,insight
0,-2,-2,-2,-1,0,1,2,0,wash,opauto,remreco,cam,remserv,reco
1,2,2,2,2,0,1,2,0,assis,alert,locally,cowash,locally,nothing
1,2,2,2,2,0,1,2,1,tv,preshouse,locopti,colight,locally,opti
0,-2,-1,0,-1,0,1,2,0,hvac,lochouse,reminsi,locsens,remserv,insight
1,1,3,1,2,2,0,1,0,hvac,opauto,remrecoshr,cam,share,reco
1,3,3,3,3,3,0,1,0,tv,lochouse,remreco,coassis,remserv,reco
1,3,3,3,3,3,0,1,1,assis,preshouse,reminsi,colight,remserv,insight
0,1,-3,3,1,-1,0,1,0,light,alert,remopti,cowash,remserv,opti
1,3,3,3,3,3,0,1,1,secu,preshouse,remoptishr,coalarm,share,opti
1,3,3,3,3,3,0,1,0,secu,opauto,locally,watch,locally,nothing
0,0,-3,3,1,-3,0,1,0,wash,lochouse,locreco,cohvac,locally,reco
0,-1,-3,0,0,-3,0,1,1,wash,alert,remshr,micro,share,nothing
0,1,-3,3,0,-3,0,1,0,refr,alert,locopti,cosecu,locally,opti
0,1,-3,3,0,-1,0,1,1,hvac,preshouse,locinsi,corefri,locally,insight
0,1,-2,3,-1,-3,0,1,0,alarm,opauto,remserv,cotv,remserv,nothing
0,-1,-3,1,0,-3,0,1,0,refr,lochouse,reminsishr,locsens,share,insight
0,-1,-2,-1,-2,-1,2,2,0,hvac,opauto,locreco,coassis,locally,reco
0,-3,-3,-2,-3,-3,2,2,0,refr,lochouse,locinsi,colight,locally,insight
0,-2,-2,-1,-2,1,2,2,0,assis,opauto,remreco,locsens,remserv,reco
0,0,-3,0,-1,0,2,2,0,light,lochouse,reminsi,coalarm,remserv,insight
1,0,1,1,0,-1,2,2,1,wash,preshouse,remopti,cotv,remserv,opti
0,-3,-3,-3,-3,-3,2,2,1,refr,alert,remrecoshr,cosecu,share,reco
0,-1,1,-3,-3,-3,2,2,0,hvac,preshouse,remshr,corefri,share,nothing
0,-2,-1,-2,-3,-2,2,2,0,alarm,lochouse,remoptishr,micro,share,opti
1,1,0,1,2,1,2,2,0,alarm,alert,locally,cohvac,locally,nothing
0,-3,-2,-3,-3,-2,2,2,0,secu,opauto,reminsishr,watch,share,insight
0,-3,-3,-1,-3,-3,2,2,1,secu,preshouse,locopti,cowash,locally,opti
1,-1,-1,-1,0,-1,2,2,1,tv,alert,remserv,cam,remserv,nothing
1,1,1,2,1,-1,1,0,0,alarm,alert,reminsishr,colight,share,insight
1,2,3,3,3,1,1,0,1,assis,preshouse,remserv,cohvac,remserv,nothing
1,2,3,3,3,1,1,0,1,hvac,lochouse,remopti,watch,remserv,opti
1,1,1,1,1,-1,1,0,0,secu,opauto,locinsi,cam,locally,insight
1,-1,-1,-1,-1,-3,1,0,0,refr,lochouse,remshr,cotv,share,nothing
1,1,1,1,1,-1,1,0,1,secu,preshouse,remrecoshr,coassis,share,reco
1,2,2,2,2,1,1,0,0,tv,preshouse,locally,coalarm,locally,nothing
1,2,2,2,2,1,1,0,1,alarm,lochouse,locopti,locsens,locally,opti
0,-1,-1,-1,-1,-2,1,0,0,wash,opauto,reminsi,cosecu,remserv,insight
0,-2,-2,-1,-2,-2,1,0,0,tv,opauto,remoptishr,cowash,share,opti
1,1,1,1,1,-1,1,0,0,refr,alert,locreco,micro,locally,reco
1,1,1,1,1,1,1,0,0,light,alert,remreco,corefri,remserv,reco
1,1,1,1,1,1,1,2,0,light,lochouse,reminsi,micro,remserv,insight
1,1,1,2,2,2,1,2,0,alarm,lochouse,remoptishr,corefri,share,opti
