@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4'

@attribute sessionId numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
1752,light,lochouse,watch,remserv,opti,1
1752,hvac,opauto,cam,locally,insight,1
1752,hvac,preshouse,coassis,share,reco,0
1752,tv,alert,corefri,remserv,reco,1
1752,secu,opauto,cowash,share,opti,1
1752,assis,opauto,cosecu,remserv,insight,0
1752,secu,preshouse,coalarm,locally,nothing,0
1752,wash,lochouse,cotv,share,nothing,1
1752,refr,alert,colight,share,insight,1
1752,refr,lochouse,locsens,locally,opti,1
1752,wash,alert,micro,locally,reco,1
1752,alarm,preshouse,cohvac,remserv,nothing,0
1564,alarm,lochouse,cohvac,share,insight,0
1564,secu,opauto,cowash,share,reco,1
1564,secu,preshouse,coalarm,locally,insight,0
1564,light,lochouse,watch,remserv,reco,1
1564,alarm,alert,cotv,locally,opti,0
1564,tv,preshouse,corefri,share,opti,0
1564,hvac,alert,cam,remserv,opti,0
1564,refr,alert,colight,share,nothing,0
1564,wash,preshouse,micro,remserv,insight,0
1564,assis,opauto,cosecu,remserv,nothing,0
1564,refr,lochouse,locsens,locally,reco,1
1564,tv,opauto,coassis,locally,nothing,1
603,refr,lochouse,cam,share,nothing,0
603,secu,opauto,cosecu,locally,insight,1
603,tv,opauto,cotv,share,opti,0
603,refr,alert,corefri,locally,reco,1
603,alarm,lochouse,watch,locally,opti,1
603,light,alert,colight,remserv,reco,1
603,alarm,alert,coalarm,share,insight,0
603,wash,opauto,cowash,remserv,insight,1
603,secu,preshouse,locsens,share,reco,0
603,hvac,lochouse,cohvac,remserv,opti,1
603,tv,preshouse,micro,locally,nothing,0
