@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4'

@attribute sessionId numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
2,assis,preshouse,coalarm,share,reco,0
2,tv,lochouse,locsens,share,nothing,0
2,hvac,preshouse,colight,remserv,nothing,1
2,wash,opauto,coassis,share,opti,0
2,secu,opauto,cohvac,remserv,insight,1
2,refr,alert,cowash,remserv,reco,0
2,light,lochouse,micro,locally,opti,1
2,light,alert,cotv,share,insight,0
2,assis,opauto,watch,locally,insight,1
2,alarm,lochouse,corefri,remserv,opti,0
2,wash,preshouse,cam,locally,nothing,0
2,tv,alert,cosecu,locally,reco,0
3,tv,opauto,cosecu,share,insight,1
3,secu,preshouse,cohvac,share,nothing,0
3,light,alert,micro,remserv,nothing,0
3,refr,preshouse,coalarm,remserv,opti,1
3,secu,opauto,cotv,locally,reco,0
3,alarm,alert,corefri,share,reco,0
3,assis,lochouse,watch,share,opti,0
3,alarm,lochouse,coassis,locally,insight,1
3,wash,opauto,cam,remserv,reco,0
3,assis,alert,cowash,locally,nothing,1
3,tv,preshouse,colight,locally,opti,1
3,hvac,lochouse,locsens,remserv,insight,0
5,hvac,opauto,cam,share,reco,1
5,tv,lochouse,coassis,remserv,reco,1
5,assis,preshouse,colight,remserv,insight,1
5,light,alert,cowash,remserv,opti,0
5,secu,preshouse,coalarm,share,opti,1
5,secu,opauto,watch,locally,nothing,1
5,wash,lochouse,cohvac,locally,reco,0
5,wash,alert,micro,share,nothing,0
5,refr,alert,cosecu,locally,opti,0
5,hvac,preshouse,corefri,locally,insight,0
5,alarm,opauto,cotv,remserv,nothing,0
5,refr,lochouse,locsens,share,insight,0
7,hvac,opauto,coassis,locally,reco,0
7,refr,lochouse,colight,locally,insight,0
7,assis,opauto,locsens,remserv,reco,0
7,light,lochouse,coalarm,remserv,insight,0
7,wash,preshouse,cotv,remserv,opti,1
7,refr,alert,cosecu,share,reco,0
7,hvac,preshouse,corefri,share,nothing,0
7,alarm,lochouse,micro,share,opti,0
7,alarm,alert,cohvac,locally,nothing,1
7,secu,opauto,watch,share,insight,0
7,secu,preshouse,cowash,locally,opti,0
7,tv,alert,cam,remserv,nothing,1
8,alarm,alert,colight,share,insight,1
8,assis,preshouse,cohvac,remserv,nothing,1
8,hvac,lochouse,watch,remserv,opti,1
8,secu,opauto,cam,locally,insight,1
8,refr,lochouse,cotv,share,nothing,1
8,secu,preshouse,coassis,share,reco,1
8,tv,preshouse,coalarm,locally,nothing,1
8,alarm,lochouse,locsens,locally,opti,1
8,wash,opauto,cosecu,remserv,insight,0
8,tv,opauto,cowash,share,opti,0
8,refr,alert,micro,locally,reco,1
8,light,alert,corefri,remserv,reco,1
9,light,lochouse,micro,remserv,insight,1
9,alarm,lochouse,corefri,share,opti,1
9,hvac,preshouse,colight,share,nothing,0
9,tv,alert,cosecu,remserv,nothing,1
9,alarm,alert,coassis,locally,nothing,1
9,hvac,opauto,locsens,locally,reco,0
9,refr,alert,cowash,share,reco,1
9,refr,lochouse,coalarm,locally,insight,1
9,assis,opauto,watch,remserv,reco,1
9,wash,preshouse,cam,remserv,opti,0
9,secu,preshouse,cotv,locally,opti,1
9,secu,opauto,cohvac,share,insight,1
10,assis,lochouse,locsens,remserv,insight,0
10,hvac,lochouse,coassis,locally,insight,1
10,secu,alert,cowash,locally,nothing,1
10,refr,opauto,cosecu,share,insight,0
10,wash,preshouse,cohvac,share,nothing,0
10,refr,preshouse,colight,locally,opti,1
10,tv,opauto,cam,remserv,reco,0
10,alarm,alert,micro,remserv,nothing,0
10,wash,opauto,cotv,locally,reco,0
10,secu,lochouse,watch,share,opti,0
10,light,preshouse,coalarm,remserv,opti,0
10,hvac,alert,corefri,share,reco,0
12,assis,lochouse,cosecu,remserv,nothing,0
12,tv,alert,corefri,share,opti,1
12,light,preshouse,watch,remserv,reco,0
12,tv,lochouse,coassis,locally,nothing,1
12,refr,preshouse,locsens,locally,reco,1
12,hvac,opauto,cam,remserv,opti,0
12,secu,alert,coalarm,locally,insight,0
12,refr,opauto,colight,share,nothing,1
12,wash,alert,micro,remserv,insight,0
12,alarm,preshouse,cohvac,share,insight,0
12,alarm,opauto,cotv,locally,opti,0
12,secu,lochouse,cowash,share,reco,0
13,tv,preshouse,corefri,share,reco,0
13,hvac,alert,cam,remserv,reco,0
13,tv,opauto,coassis,locally,insight,0
13,secu,lochouse,coalarm,remserv,opti,1
13,wash,preshouse,micro,remserv,nothing,1
13,alarm,alert,cotv,locally,reco,1
13,assis,lochouse,colight,locally,opti,1
13,light,opauto,watch,share,opti,0
13,assis,alert,cosecu,share,insight,0
13,light,preshouse,cowash,locally,nothing,1
13,refr,opauto,locsens,remserv,insight,0
13,alarm,lochouse,cohvac,share,nothing,0
14,hvac,opauto,coalarm,share,reco,1
14,refr,lochouse,cotv,share,insight,1
14,wash,lochouse,cosecu,locally,reco,1
14,tv,lochouse,cowash,remserv,reco,1
14,secu,preshouse,coassis,share,opti,0
14,hvac,preshouse,watch,locally,insight,1
14,assis,preshouse,cohvac,remserv,insight,1
14,alarm,opauto,colight,remserv,nothing,0
14,light,alert,corefri,remserv,opti,0
14,wash,alert,locsens,share,nothing,1
14,secu,opauto,cam,locally,nothing,1
14,refr,alert,micro,locally,opti,1
16,tv,opauto,colight,remserv,nothing,1
16,alarm,opauto,cam,locally,nothing,0
16,assis,lochouse,cowash,remserv,reco,0
16,refr,preshouse,watch,locally,insight,0
16,light,preshouse,cohvac,remserv,insight,1
16,hvac,alert,locsens,share,nothing,0
16,secu,lochouse,cotv,share,insight,0
16,alarm,preshouse,coassis,share,opti,0
16,refr,opauto,coalarm,share,reco,1
16,hvac,lochouse,cosecu,locally,reco,1
16,secu,alert,micro,locally,opti,0
16,wash,alert,corefri,remserv,opti,0
18,light,alert,colight,locally,insight,1
18,wash,preshouse,watch,share,insight,0
18,assis,preshouse,coassis,locally,reco,1
18,refr,lochouse,cam,remserv,nothing,0
18,hvac,lochouse,cohvac,locally,nothing,1
18,wash,opauto,cowash,locally,opti,1
18,secu,preshouse,locsens,remserv,reco,0
18,light,lochouse,cosecu,share,reco,0
18,assis,opauto,corefri,share,nothing,0
18,hvac,alert,micro,share,opti,0
18,alarm,alert,coalarm,remserv,insight,1
18,tv,opauto,cotv,remserv,opti,1
21,tv,opauto,cosecu,remserv,nothing,0
21,alarm,preshouse,corefri,share,opti,0
21,hvac,lochouse,locsens,locally,reco,1
21,secu,alert,cotv,locally,opti,1
21,light,preshouse,micro,remserv,insight,0
21,alarm,opauto,coassis,locally,nothing,1
21,secu,lochouse,cohvac,share,insight,0
21,wash,alert,cam,remserv,opti,1
21,refr,opauto,cowash,share,reco,0
21,hvac,alert,colight,share,nothing,1
21,assis,lochouse,watch,remserv,reco,0
21,refr,preshouse,coalarm,locally,insight,1
22,hvac,preshouse,locsens,remserv,insight,1
22,alarm,preshouse,coassis,locally,insight,1
22,assis,preshouse,watch,share,opti,0
22,light,opauto,micro,remserv,nothing,1
22,assis,opauto,cowash,locally,nothing,1
22,tv,alert,colight,locally,opti,1
22,tv,lochouse,cosecu,share,insight,0
22,secu,lochouse,cotv,locally,reco,1
22,secu,alert,cohvac,share,nothing,1
22,wash,lochouse,cam,remserv,reco,0
22,alarm,opauto,corefri,share,reco,0
22,refr,alert,coalarm,remserv,opti,0
26,assis,preshouse,watch,locally,nothing,1
26,secu,alert,cohvac,locally,reco,0
26,tv,alert,locsens,share,insight,0
26,wash,alert,coassis,remserv,reco,1
26,refr,lochouse,cowash,remserv,opti,0
26,assis,opauto,coalarm,share,opti,0
26,alarm,preshouse,cam,share,reco,0
26,secu,lochouse,micro,share,nothing,0
26,light,preshouse,cotv,remserv,nothing,0
26,alarm,opauto,corefri,locally,insight,0
26,tv,lochouse,cosecu,locally,opti,1
26,hvac,opauto,colight,remserv,insight,0
27,tv,alert,locsens,share,nothing,0
27,assis,opauto,coalarm,share,reco,1
27,refr,lochouse,cowash,remserv,reco,1
27,alarm,alert,corefri,remserv,opti,1
27,secu,preshouse,cohvac,remserv,insight,0
27,wash,opauto,cam,locally,nothing,0
27,hvac,opauto,colight,remserv,nothing,0
27,assis,preshouse,watch,locally,insight,1
27,light,lochouse,cotv,share,insight,0
27,wash,preshouse,coassis,share,opti,1
27,tv,lochouse,cosecu,locally,reco,1
27,light,alert,micro,locally,opti,0
28,hvac,opauto,cam,remserv,nothing,0
28,secu,preshouse,coalarm,remserv,insight,0
28,light,alert,cowash,locally,opti,1
28,assis,opauto,cosecu,share,reco,0
28,assis,preshouse,colight,locally,insight,1
28,tv,lochouse,coassis,locally,reco,0
28,wash,opauto,cohvac,locally,nothing,1
28,wash,preshouse,micro,share,opti,0
28,light,lochouse,watch,share,insight,1
28,alarm,alert,cotv,remserv,opti,0
