@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
assis,preshouse,coalarm,share,reco,0
tv,lochouse,locsens,share,nothing,0
hvac,preshouse,colight,remserv,nothing,1
wash,opauto,coassis,share,opti,0
secu,opauto,cohvac,remserv,insight,1
refr,alert,cowash,remserv,reco,0
light,lochouse,micro,locally,opti,1
light,alert,cotv,share,insight,0
assis,opauto,watch,locally,insight,1
alarm,lochouse,corefri,remserv,opti,0
wash,preshouse,cam,locally,nothing,0
tv,alert,cosecu,locally,reco,0
tv,opauto,cosecu,share,insight,1
secu,preshouse,cohvac,share,nothing,0
light,alert,micro,remserv,nothing,0
refr,preshouse,coalarm,remserv,opti,1
secu,opauto,cotv,locally,reco,0
alarm,alert,corefri,share,reco,0
assis,lochouse,watch,share,opti,0
alarm,lochouse,coassis,locally,insight,1
wash,opauto,cam,remserv,reco,0
assis,alert,cowash,locally,nothing,1
tv,preshouse,colight,locally,opti,1
hvac,lochouse,locsens,remserv,insight,0
hvac,opauto,cam,share,reco,1
tv,lochouse,coassis,remserv,reco,1
assis,preshouse,colight,remserv,insight,1
light,alert,cowash,remserv,opti,0
secu,preshouse,coalarm,share,opti,1
secu,opauto,watch,locally,nothing,1
wash,lochouse,cohvac,locally,reco,0
wash,alert,micro,share,nothing,0
refr,alert,cosecu,locally,opti,0
hvac,preshouse,corefri,locally,insight,0
alarm,opauto,cotv,remserv,nothing,0
refr,lochouse,locsens,share,insight,0
hvac,opauto,coassis,locally,reco,0
refr,lochouse,colight,locally,insight,0
assis,opauto,locsens,remserv,reco,0
light,lochouse,coalarm,remserv,insight,0
wash,preshouse,cotv,remserv,opti,1
refr,alert,cosecu,share,reco,0
hvac,preshouse,corefri,share,nothing,0
alarm,lochouse,micro,share,opti,0
alarm,alert,cohvac,locally,nothing,1
secu,opauto,watch,share,insight,0
secu,preshouse,cowash,locally,opti,0
tv,alert,cam,remserv,nothing,1
alarm,alert,colight,share,insight,1
assis,preshouse,cohvac,remserv,nothing,1
hvac,lochouse,watch,remserv,opti,1
secu,opauto,cam,locally,insight,1
refr,lochouse,cotv,share,nothing,1
secu,preshouse,coassis,share,reco,1
tv,preshouse,coalarm,locally,nothing,1
alarm,lochouse,locsens,locally,opti,1
wash,opauto,cosecu,remserv,insight,0
tv,opauto,cowash,share,opti,0
refr,alert,micro,locally,reco,1
light,alert,corefri,remserv,reco,1
light,lochouse,micro,remserv,insight,1
alarm,lochouse,corefri,share,opti,1
hvac,preshouse,colight,share,nothing,0
tv,alert,cosecu,remserv,nothing,1
