@relation scenarioYang_new-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute sessionId numeric
@attribute userid numeric
@attribute cond numeric
@attribute senario numeric
@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute who numeric
@attribute what numeric
@attribute purpose numeric
@attribute collection numeric

@data
2,68543,94,11170,0,-2,1,-2,-2,-1,0,0,0,5,7,0,10
2,68543,94,11180,0,-3,-2,-2,-3,-2,0,0,1,6,8,1,11
2,68543,94,11190,1,2,2,1,2,2,0,0,0,2,4,0,7
2,68543,94,11200,0,-2,-1,1,-1,1,0,0,1,3,5,2,8
2,68543,94,11210,1,1,2,2,2,1,0,0,1,0,2,2,5
2,68543,94,11220,0,-2,1,2,-2,1,0,0,0,1,3,3,6
2,68543,94,11230,1,-1,2,1,1,2,0,0,0,4,10,1,1
2,68543,94,11240,0,-1,1,-1,-2,-1,0,0,0,4,6,3,9
2,68543,94,11250,1,1,2,2,2,1,0,0,1,5,11,2,2
2,68543,94,11260,0,-1,-2,-1,-1,-2,0,0,0,7,1,1,4
2,68543,94,11270,0,-2,-1,2,1,-1,0,0,0,3,9,0,0
2,68543,94,11280,0,-1,1,2,-2,2,0,0,0,6,0,3,3
3,75906,688,82450,1,-2,-2,-2,-3,-2,1,2,0,6,0,2,9
3,75906,688,82460,0,-2,-2,-2,-2,0,1,2,0,0,2,0,11
3,75906,688,82470,0,0,0,2,0,0,1,2,1,4,10,3,7
3,75906,688,82480,1,1,2,1,1,0,1,2,1,1,7,0,4
3,75906,688,82490,0,-1,0,-1,-1,0,1,2,0,0,6,2,3
3,75906,688,82500,0,-2,-1,-2,-2,0,1,2,1,7,1,3,10
3,75906,688,82510,0,-1,2,-1,-1,0,1,2,0,5,11,1,8
3,75906,688,82520,1,1,1,0,0,0,1,2,0,7,5,1,2
3,75906,688,82530,0,-2,-2,-2,-1,0,1,2,0,3,9,2,6
3,75906,688,82540,1,2,2,2,2,0,1,2,0,5,3,3,0
3,75906,688,82550,1,2,2,2,2,0,1,2,1,6,4,0,1
3,75906,688,82560,0,-2,-1,0,-1,0,1,2,0,2,8,1,5
5,1248,252,30130,1,1,3,1,2,2,0,1,0,2,9,2,10
5,1248,252,30140,1,3,3,3,3,3,0,1,0,6,5,1,6
5,1248,252,30150,1,3,3,3,3,3,0,1,1,5,4,0,5
5,1248,252,30160,0,1,-3,3,1,-1,0,1,0,4,3,3,4
5,1248,252,30170,1,3,3,3,3,3,0,1,1,0,7,0,8
5,1248,252,30180,1,3,3,3,3,3,0,1,0,0,11,2,0
5,1248,252,30190,0,0,-3,3,1,-3,0,1,0,3,2,1,3
5,1248,252,30200,0,-1,-3,0,0,-3,0,1,1,3,10,3,11
5,1248,252,30210,0,1,-3,3,0,-3,0,1,0,1,0,3,1
5,1248,252,30220,0,1,-3,3,0,-1,0,1,1,2,1,0,2
5,1248,252,30230,0,1,-2,3,-1,-3,0,1,0,7,6,2,7
5,1248,252,30240,0,-1,-3,1,0,-3,0,1,0,1,8,1,9
7,59395,1143,137050,0,-1,-2,-1,-2,-1,2,2,0,2,5,2,3
7,59395,1143,137060,0,-3,-3,-2,-3,-3,2,2,0,1,4,1,2
7,59395,1143,137070,0,-2,-2,-1,-2,1,2,2,0,5,8,2,6
7,59395,1143,137080,0,0,-3,0,-1,0,2,2,0,4,7,1,5
7,59395,1143,137090,1,0,1,1,0,-1,2,2,1,3,6,0,4
7,59395,1143,137100,0,-3,-3,-3,-3,-3,2,2,1,1,0,3,10
7,59395,1143,137110,0,-1,1,-3,-3,-3,2,2,0,2,1,0,11
7,59395,1143,137120,0,-2,-1,-2,-3,-2,2,2,0,7,10,1,8
7,59395,1143,137130,1,1,0,1,2,1,2,2,0,7,2,3,0
7,59395,1143,137140,0,-3,-2,-3,-3,-2,2,2,0,0,11,2,9
7,59395,1143,137150,0,-3,-3,-1,-3,-3,2,2,1,0,3,0,1
7,59395,1143,137160,1,-1,-1,-1,0,-1,2,2,1,6,9,3,7
8,78162,416,49810,1,1,1,2,1,-1,1,0,0,7,4,3,9
8,78162,416,49820,1,2,3,3,3,1,1,0,1,5,2,0,7
8,78162,416,49830,1,2,3,3,3,1,1,0,1,2,11,1,4
8,78162,416,49840,1,1,1,1,1,-1,1,0,0,0,9,2,2
8,78162,416,49850,1,-1,-1,-1,-1,-3,1,0,0,1,6,1,11
8,78162,416,49860,1,1,1,1,1,-1,1,0,1,0,5,0,10
8,78162,416,49870,1,2,2,2,2,1,1,0,0,6,7,0,0
8,78162,416,49880,1,2,2,2,2,1,1,0,1,7,8,1,1
8,78162,416,49890,0,-1,-1,-1,-1,-2,1,0,0,3,0,2,5
8,78162,416,49900,0,-2,-2,-1,-2,-2,1,0,0,6,3,2,8
8,78162,416,49910,1,1,1,1,1,-1,1,0,0,1,10,3,3
8,78162,416,49920,1,1,1,1,1,1,1,0,0,4,1,3,6
9,3538,714,85570,1,1,1,1,1,1,1,2,0,4,10,1,5
9,3538,714,85580,1,1,1,2,2,2,1,2,0,7,1,1,8
9,3538,714,85590,0,-2,-1,-1,-1,-1,1,2,0,2,4,0,11
9,3538,714,85600,1,2,2,2,2,2,1,2,1,6,0,3,7
9,3538,714,85610,1,1,1,2,1,2,1,2,0,7,5,3,0
9,3538,714,85620,0,-1,-1,0,1,0,1,2,0,2,8,2,3
9,3538,714,85630,1,1,2,2,1,0,1,2,1,1,3,3,10
9,3538,714,85640,1,1,1,1,1,1,1,2,0,1,7,1,2
9,3538,714,85650,1,2,2,2,2,2,1,2,0,5,11,2,6
9,3538,714,85660,0,-1,-1,-1,-1,-1,1,2,1,3,9,0,4
9,3538,714,85670,1,1,1,1,2,2,1,2,1,0,6,0,1
9,3538,714,85680,1,1,1,2,1,1,1,2,0,0,2,2,9
10,54643,724,86770,0,-3,-3,-3,0,0,1,2,0,5,8,1,5
10,54643,724,86780,1,2,2,3,0,0,1,2,0,2,5,1,2
10,54643,724,86790,1,0,-3,3,0,0,1,2,0,0,3,3,0
10,54643,724,86800,0,3,-3,-3,0,0,1,2,0,1,0,2,9
10,54643,724,86810,0,-3,-3,-3,0,0,1,2,0,3,2,0,11
10,54643,724,86820,1,0,0,1,0,0,1,2,1,1,4,0,1
10,54643,724,86830,0,-3,-3,-3,-3,0,1,2,0,6,9,2,6
10,54643,724,86840,0,-3,-3,-3,-3,0,1,2,1,7,10,3,7
10,54643,724,86850,0,-1,-1,-1,0,0,1,2,0,3,6,2,3
10,54643,724,86860,0,-3,-3,-3,-3,0,1,2,0,0,11,1,8
10,54643,724,86870,0,-3,-3,-3,-3,0,1,2,1,4,7,0,4
10,54643,724,86880,0,-3,-3,-3,-3,0,1,2,1,2,1,3,10
12,66239,894,107170,0,-2,-1,-1,-2,-2,2,0,0,5,0,1,7
12,66239,894,107180,1,2,1,2,0,1,2,0,0,6,1,3,8
12,66239,894,107190,0,-1,-2,-1,1,-1,2,0,1,4,11,0,6
12,66239,894,107200,1,1,2,1,1,-1,2,0,1,6,5,1,0
12,66239,894,107210,1,0,1,2,1,-1,2,0,1,1,8,0,3
12,66239,894,107220,0,2,1,3,1,-1,2,0,0,2,9,2,4
12,66239,894,107230,0,2,2,0,1,0,2,0,0,0,7,3,2
12,66239,894,107240,1,1,-1,1,-1,1,2,0,0,1,4,2,11
12,66239,894,107250,0,-1,1,2,2,1,2,0,0,3,10,3,5
12,66239,894,107260,0,2,0,-1,0,-1,2,0,1,7,2,0,9
12,66239,894,107270,0,-1,1,-1,1,-1,2,0,0,7,6,2,1
12,66239,894,107280,0,1,-1,0,1,2,2,0,0,0,3,1,10
13,3562,772,92530,0,-2,0,-2,-1,1,2,0,0,6,1,0,10
13,3562,772,92540,0,-1,-1,-1,-1,1,2,0,1,2,9,3,6
13,3562,772,92550,0,-1,-1,0,-1,-1,2,0,0,6,5,2,2
13,3562,772,92560,1,1,1,0,1,1,2,0,0,0,7,1,4
13,3562,772,92570,1,0,-1,0,1,1,2,0,0,3,10,0,7
13,3562,772,92580,1,1,1,1,1,1,2,0,1,7,6,3,3
13,3562,772,92590,1,1,1,1,0,1,2,0,0,5,4,1,1
13,3562,772,92600,0,-3,-2,-3,-3,-1,2,0,0,4,11,2,8
13,3562,772,92610,0,-3,-2,-3,-3,-2,2,0,1,5,0,3,9
13,3562,772,92620,1,1,1,1,1,1,2,0,1,4,3,0,0
13,3562,772,92630,0,1,-1,1,0,-1,2,0,0,1,8,2,5
13,3562,772,92640,0,-3,0,-3,-2,-2,2,0,0,7,2,1,11
14,67137,1018,122050,1,-1,2,1,-1,1,2,1,0,2,7,2,10
14,67137,1018,122060,1,1,1,0,-1,1,2,1,1,1,6,1,9
14,67137,1018,122070,1,1,1,1,2,2,2,1,1,3,0,1,3
14,67137,1018,122080,1,2,1,1,2,1,2,1,1,6,3,1,6
14,67137,1018,122090,0,-2,1,-1,-2,1,2,1,0,0,5,0,8
14,67137,1018,122100,1,1,2,0,2,2,2,1,0,2,11,0,2
14,67137,1018,122110,1,2,2,0,-1,1,2,1,0,5,2,0,5
14,67137,1018,122120,0,-2,1,-2,-2,2,2,1,0,7,4,2,7
14,67137,1018,122130,0,-2,0,-1,-2,1,2,1,0,4,1,3,4
14,67137,1018,122140,1,1,1,0,0,1,2,1,0,3,8,3,11
14,67137,1018,122150,1,2,2,2,2,2,2,1,1,0,9,2,0
14,67137,1018,122160,1,2,2,2,2,2,2,1,0,1,10,3,1
16,43255,622,74530,1,0,2,0,1,1,1,1,1,6,4,2,7
16,43255,622,74540,0,-3,-3,-3,-3,-3,1,1,0,7,9,2,0
16,43255,622,74550,0,0,0,-1,-3,-3,1,1,0,5,3,1,6
16,43255,622,74560,0,0,-1,-3,-3,-3,1,1,0,1,11,0,2
16,43255,622,74570,1,1,2,0,2,2,1,1,0,4,2,0,5
16,43255,622,74580,0,-2,0,-1,-2,-2,1,1,0,2,8,3,11
16,43255,622,74590,0,-2,0,-2,-3,-2,1,1,0,0,6,1,9
16,43255,622,74600,0,-3,-1,-3,-3,2,1,1,0,7,5,0,8
16,43255,622,74610,1,0,1,0,1,1,1,1,1,1,7,2,10
16,43255,622,74620,1,1,1,0,1,2,1,1,0,2,0,1,3
16,43255,622,74630,0,0,0,0,0,0,1,1,1,0,10,3,1
16,43255,622,74640,0,0,0,0,-1,1,1,1,1,3,1,3,4
18,91614,891,106810,1,2,1,2,2,0,2,0,0,4,4,3,2
18,91614,891,106820,0,-2,2,-3,-2,-1,2,0,0,3,11,0,9
18,91614,891,106830,1,1,-1,1,0,0,2,0,0,5,5,0,3
18,91614,891,106840,0,-2,-3,-2,-3,-3,2,0,1,1,9,1,7
18,91614,891,106850,1,-1,2,0,0,0,2,0,0,2,2,1,0
18,91614,891,106860,1,2,-1,2,0,-2,2,0,1,3,3,2,1
18,91614,891,106870,0,-2,1,-3,-2,-1,2,0,0,0,8,0,6
18,91614,891,106880,0,-3,1,-3,-3,-3,2,0,1,4,0,1,10
18,91614,891,106890,0,-3,1,-3,-3,-3,2,0,0,5,1,2,11
18,91614,891,106900,0,-3,2,-3,-3,-3,2,0,0,2,10,3,8
18,91614,891,106910,1,2,1,2,0,0,2,0,0,7,7,3,5
18,91614,891,106920,1,-1,2,0,1,1,2,0,1,6,6,2,4
21,17019,1002,120130,0,0,-1,-2,-2,-1,2,1,0,6,0,2,7
21,17019,1002,120140,0,-2,-2,-3,-2,-2,2,1,0,7,1,0,8
21,17019,1002,120150,1,1,2,2,2,2,2,1,1,2,8,1,3
21,17019,1002,120160,1,2,2,1,1,2,2,1,0,0,6,3,1
21,17019,1002,120170,0,-1,-1,-2,-3,-2,2,1,0,4,10,0,5
21,17019,1002,120180,1,2,2,2,2,1,2,1,1,7,5,2,0
21,17019,1002,120190,0,-1,0,0,-1,-1,2,1,1,0,2,1,9
21,17019,1002,120200,1,1,0,0,1,0,2,1,0,3,9,3,4
21,17019,1002,120210,0,0,-1,0,0,-1,2,1,0,1,3,2,10
21,17019,1002,120220,1,1,1,-1,0,1,2,1,0,2,4,3,11
21,17019,1002,120230,0,-1,0,-1,-1,2,2,1,1,5,11,1,6
21,17019,1002,120240,1,1,1,2,2,2,2,1,0,1,7,0,2
22,40332,976,117010,1,3,3,1,3,2,2,1,0,2,8,0,5
22,40332,976,117020,1,3,3,3,3,1,2,1,0,7,5,0,2
22,40332,976,117030,0,-3,-2,-2,-2,-3,2,1,0,5,11,0,8
22,40332,976,117040,1,2,3,1,3,3,2,1,0,4,10,2,7
